NU_CTE_COD	EDAD	CD_ESTADO	CD_POSTAL	CD_SEXO
13TMZW9K	58	QU	76905	M
ZMG9AZXF	20	DF	01010	M
XFTYE1H9	33	CH	32574	M
Z82ZY60W	29	DU	35015	M
1BH1X3FT	31	SO	83107	F
B3BJZPC3	40	DF	16050	M
W1V7TLMQ	37	TM	89310	M
QYK7R4D0	21	GU	36760	M
E3Q7VG15	29	QR	77539	M
9R2BWT0J	51	EM	50026	F
9C4ER2QJ	38	MI	61200	M
5T2ULWCK	56	GU	37353	M
DPGFG2GS	23	SI	81234	M
VPNJK8C0	45	BN	22205	M
56TDL5Q5	31	HI	43646	F
5RMNAJTU	30	YU	97209	F
M7KMGNP5	22	JA	45645	M
TTMFMC0V	29	EM	56337	F
89Y9TJZ5	45	NL	66400	M
HSVGS01E	53	DF	03700	M
WR2XPGD7	36	TA	86500	M
7QA2QKCS	47	VE	91800	F
Z0LJ19QJ	31	CH	33700	M
NA0E0JG4	24	NL	66600	M
0M9HRK49	68	VE	91850	M
0JSYULUU	37	DF	07480	M
7PCN6BD7	50	CU	25000	M
EWG5AYRK	32	EM	55187	M
1HXYPK0C	49	MI	58130	M
SRCC08LB	23	PU	75855	M
301W5DC7	38	SO	83140	F
60B8C680	60	DF	14710	F
V6ZNG0N5	25	DF	06720	F
NK7QEG5D	24	CH	32910	M
7PRZ0SGV	62	DF	08830	F
B822QZ0X	38	MO	62240	F
R9B7777U	34	VE	91808	M
K9E670QJ	64	HI	43629	M
6G7QNUAE	40	GU	38115	M
1A95TWF4	59	QU	76020	F
LPT41VE7	24	JA	48291	M
R2T5UUS3	22	PU	72920	M
5Y6A5JBD	38	CH	33593	F
DZQP3BW5	40	TA	86553	F
PDP0W556	26	PU	75793	F
M8R0504D	40	EM	56600	M
S6J8JRTB	59	CU	27170	?
NFW5Y8VG	26	EM	57185	M
DGZ8T5RC	33	VE	96730	M
U5J6BGHZ	25	PU	75763	F
1K41SF5V	67	CS	29100	M
0YGN9X3P	85	HI	43600	F
NHFEZ76Z	26	PU	75770	M
AM4FACVE	38	EM	56646	M
K4H78RQL	48	AG	20070	F
R2VR670E	25	SI	80197	F
7TC4H733	36	VE	94297	M
H3BF0ZTJ	28	DF	14739	M
5R88QJH3	40	GU	37280	M
40MN14HQ	59	VE	96510	M
UNZDR0LD	74	GO	39300	F
D8WPHFKH	35	EM	54910	M
CGTHRN2G	31	VE	96536	F
QFBK070M	31	HI	43904	M
NN7GV3E3	23	PU	75480	F
ZFLSMCVH	22	QR	77560	M
XZTBF8WY	23	DF	01010	F
ZK200JDQ	22	NL	66647	M
UPBL97DC	51	DF	04400	M
XS21074M	28	DF	01010	F
UPV9JZKC	37	QU	76906	F
AUSR48Z4	35	EM	51355	F
R80XQ3NF	29	SO	85390	F
Z0UTGC12	20	DF	09970	F
XNR078QG	33	HI	43680	M
V3TQ5EPT	32	JA	44700	F
NDV2B1GB	28	DF	11850	M
EBGHMU6V	32	EM	52106	M
KMM9N25Z	22	CS	30798	M
4WX2VX7R	47	SO	83240	F
XULUEA21	38	CS	30470	M
D9MKQ71B	52	GU	38080	F
2QS5JZ7W	68	OA	70213	M
5D8LTE2A	47	PU	72380	F
T16H015W	22	NL	66460	M
74HBP852	42	GU	37238	M
T00P0873	45	CH	32606	F
UTGEKAWL	31	QU	76180	M
R6H758QK	24	SO	83118	F
K1FRUFP5	23	MO	62555	F
WXYXQHMN	39	CH	32300	M
N7E094JD	26	PU	72230	M
RHLT30Z0	42	OA	70190	F
WU20BHNJ	59	NA	63737	M
EUUFN7M7	35	EM	53717	F
D9LW31KL	40	YU	97730	F
1YDJL0ZD	61	VE	92890	F
LESAQ8JD	29	TA	86400	M
VX4PUQD4	27	SO	84617	F
JS07B744	33	CS	29010	M
0T080M4W	59	JA	45700	F
MLQR08AU	30	PU	72410	F
38RTE7GX	53	CH	31135	M
GFBY0EWH	26	EM	54933	M
62WAL4P9	62	CH	32650	F
Q7TR9N7R	36	HI	42088	M
BQ3P4TA6	35	VE	95119	F
9ZKR1MM6	26	DF	07500	M
UHWA8HAQ	41	CS	29960	M
29VGZRT0	51	GU	38349	F
9EBEECE0	36	GU	38200	F
LD0L326U	28	VE	91500	F
YMC7KBPU	29	DF	01010	M
MLUBGVNC	53	BS	23030	F
320R5J0Z	37	GU	37239	M
3F3ABUFX	47	SO	83106	F
UP55J89Z	30	PU	72229	M
1VG47EFH	73	QR	77930	M
XQ48RRQ0	45	JA	45615	F
6FM8YALE	38	JA	45429	F
70A37AQ1	24	NL	66004	M
9UUY86U8	37	JA	45080	F
NQEUMUAK	32	DF	13310	M
ZN40UW91	45	GU	38010	M
58S5YFKP	50	NL	66649	M
JMUG2WNT	24	BS	23473	F
MUAEB79Y	24	DF	07290	M
60G05QXM	70	CO	28018	M
RQFEXUHA	21	JA	45067	F
B0N0VBJU	35	CH	32576	M
8Q5RZLRV	32	PU	72730	M
7EHTHQQT	44	EM	53120	F
X9NCHC5H	41	CH	31137	M
QV4HTQF2	27	DF	14410	F
CQ9G75VG	45	PU	72920	F
FC9SPV3K	34	BN	22125	F
N1TJFN0R	37	OA	68420	M
CN808B7J	34	HI	42860	M
S5RZ4GAY	39	JA	45221	?
BF0Z0LG2	33	JA	45080	F
B5S9CE3W	37	DF	08500	F
1EU5C18Y	65	DF	08500	M
YCMC258Y	24	DF	07850	F
00N3T2Q6	28	DF	06450	M
ZLHP91FD	19	DF	01010	F
A5P25E2N	42	HI	42380	F
F25N87KD	30	DF	02980	M
N40NJ3AC	27	DF	04369	F
NJMWN6RR	37	NL	66050	F
8YEZZ52R	35	EM	54935	F
BYLV9K9F	28	EM	54763	F
1N4KUTCW	58	OA	71244	M
YBG4HNQB	24	MO	62766	F
M6LHDKVX	25	DF	10330	M
616KNA4P	36	QR	77714	F
XF5LZD39	30	BN	21705	M
XXN0P6KW	31	NL	65760	M
K2EWDAR0	57	VE	96380	M
G0Q0VGH0	31	EM	55266	M
ZACXNR8Y	41	EM	54910	F
UKWMJAQN	45	BN	21395	M
0AA8TA1R	35	TA	86220	F
FFVNM1C5	31	SI	80430	M
L0NXE5AH	70	TM	88000	F
VEZTJ0CK	35	DF	02080	F
01PKHXR2	36	EM	55220	F
KN0KJHQ0	59	JA	45066	M
CL710V6F	55	VE	95250	M
ZK8HPM24	19	VE	93680	M
89SM6CH0	39	JA	45606	M
SBRK5M37	25	QU	76148	M
0XBNVEH3	60	DF	11370	M
YABD27M0	50	DF	01270	F
BYRP0DVP	23	CA	24087	M
QC3L3H08	49	DF	13520	F
60PZ035D	51	VE	91855	M
M004LLCL	50	JA	45110	M
34BPG96U	55	JA	45350	M
L15SCZ0Z	26	EM	54719	F
ARGJKYKU	39	EM	54935	M
E9J5UWYJ	29	GU	36822	M
0QKZDS1Y	61	BN	22104	F
TDYNHQRF	31	SO	85209	M
AX7KW3F2	39	OA	69800	M
LPMKSQKU	47	GU	37440	M
8DDF3NKT	92	TA	86835	F
DYDJUQKR	69	DF	01090	M
FT7CMQ5C	49	CH	31350	F
008JQ2NU	31	OA	71246	F
X92TNW1D	37	DU	34166	F
UWSQAKZ5	31	HI	42186	F
05Y7R2E9	24	YU	97168	F
2SR7MD25	54	JA	45036	F
ZTHR3F8R	32	EM	52360	M
QK4HYR43	26	QR	77620	M
7E1UST44	76	DF	03100	F
N04642MV	25	JA	45040	M
X77X4WA7	29	QR	77506	M
M2XJRXQ4	53	PU	72229	M
9N34AJWN	34	AG	20406	M
SU5HK5DL	44	EM	54980	M
JSF6P0X6	29	GU	38070	M
HWQPEW0R	31	MO	62954	F
21MM2TY0	70	JA	47639	M
5L4L7S0H	65	CH	31304	M
SVKG1578	30	EM	51355	M
TJUWX8V5	28	MI	58195	M
CYRZUMTC	31	VE	91150	F
2ZSHTJS6	47	DF	14650	M
H1ZAAR4G	25	PU	72825	F
SSJESXJX	41	NL	66400	F
3E4TPS6D	41	EM	57210	M
Z0FTPPMK	23	DF	01010	M
E0JURPN2	37	CH	31807	F
B0Z3GZBF	69	MO	62498	F
X02UV1S5	29	NL	67174	M
RE7L2CHJ	64	VE	91720	M
QNZ19PCN	20	MI	58240	F
X5N874MJ	39	GU	37736	M
YA180ZSL	22	VE	91000	F
W1FKZ9SX	48	EM	55239	M
W7U2D52R	24	NL	64108	M
K1YKNXEE	45	MI	58230	M
Q09FWGHB	24	DF	04100	F
1MU3SL7T	46	BN	22454	M
MAWFW6FA	26	JA	44720	M
3F5X5XAC	55	DF	14640	F
EA9ASQY0	47	JA	45140	F
ZCU6JV47	29	DU	34400	M
EYP6DHSR	27	SI	81760	F
2P95TLSJ	73	NL	66430	M
0Z6QJNUE	68	QR	77050	M
J0BVEEB8	31	JA	45140	F
WLV7WDTM	25	BN	21600	M
6WVRDJZ0	47	DF	01180	F
TVNT0LP9	28	MO	62130	F
Q4HUR9DQ	39	JA	47013	F
NZ10HNPF	40	DF	06250	F
ER55JB3W	32	EM	55726	M
BVPBRG9J	38	QR	77533	F
XP1R1HFX	31	DF	01010	M
HR6B0ZG4	33	DF	06470	M
ZAJ99G04	29	SO	84094	M
29SVR2DW	54	DF	08830	M
WRFK7ELB	35	CH	32577	M
87YA5WCB	56	JA	44750	F
4YPNRMM7	43	SL	78129	F
EKW20PSN	38	TA	86220	M
TAXG6QC2	29	PU	72070	F
SGD1LRJ1	20	CU	27274	F
FFU0U733	32	DF	07149	M
E6XHA3H4	69	CH	33620	F
UAU7WE8F	24	EM	56607	F
06SPTGZG	28	BN	21270	M
CVY7ZFB0	29	SO	83240	F
LT8887KL	31	JA	45645	F
3KKC02E9	45	BN	21220	F
842VQHV4	33	EM	50260	F
GES02809	54	DF	06350	F
ETE3NJYT	33	JA	45540	M
TYYVZ0EC	50	EM	57840	M
E7W4X01N	38	CH	32420	M
QXRYFE1J	44	CU	25084	M
LRGT8HYY	25	GU	37570	F
ER7YHXPN	51	YU	97238	M
N6ZRWGEB	32	SO	85100	F
D4ANLERE	34	PU	72360	F
NFDDCS11	26	QU	76150	M
6XLZQUXM	36	EM	52740	M
B7GRPU9H	35	DU	34210	M
BE42UC61	35	PU	72029	M
1EU7BE6U	69	CU	25870	M
20T3QR0H	63	EM	50130	M
USA4M7FS	61	DF	14410	F
D0JTZKJY	30	QR	77516	F
0GKEV6F0	35	AG	20206	F
Z582T0KC	22	CU	25350	F
LYSN3NJP	29	DF	10010	F
4R9U91FW	49	NL	66050	F
6894Y0F4	45	DF	09638	F
HQ3FE3UE	24	MI	59698	F
RPEG7VKH	35	JA	45200	F
5003VDZ0	57	SL	78260	M
UFV5JAN1	34	QU	76114	M
MRQ5A0Z1	24	GU	38033	M
43QKR9J7	68	VE	91777	M
NFZJHZPU	70	GU	38160	M
6D6ZTVCS	38	EM	53338	M
0ZS4TZX3	60	DF	04100	M
KPV9H4MP	35	TA	86650	M
5G9B4QVV	54	DU	34970	F
HYCNTW4B	29	JA	44350	M
15447KT9	62	DF	09410	M
WA08DR36	42	QU	76803	M
N2MU5MCA	30	EM	56337	M
47QZRFZZ	46	MI	58337	F
2GC0HYWH	52	DF	03330	M
R99TGYU2	30	QU	76903	F
P5A6UKVT	33	VE	94100	F
M0HSVA7E	23	JA	44220	M
U4ULXH48	25	DF	11000	M
E2XCB0S8	63	CU	25093	M
7UGUPUQU	44	QR	77536	M
P77CF00V	46	DF	01400	F
BQ702J0S	32	JA	45056	M
YKU0B0QC	26	DF	01010	F
34ML9SRA	48	SI	82124	M
CG8XMUPT	59	TM	88275	M
GFV2KRZ3	38	CS	29070	M
1VFBE1E4	71	DF	02070	F
TR46FNJ6	27	GO	39030	M
X88B7GR5	28	EM	57000	F
49N77NLY	51	MI	58180	F
FXJCK6T4	26	DF	03330	F
SS5ULRUS	33	MO	62300	M
FZCD564A	25	JA	46400	M
D5H4QD7N	33	TM	88740	F
LVVP2TEL	29	CU	27054	M
03J6TRTT	49	BN	22040	M
S9E0SM02	19	SL	78434	M
XN43RBCA	56	EM	55717	F
U771R4BD	24	DF	11000	F
0MH10DBT	44	DF	03310	F
0KTJA7J0	69	SI	80040	F
361VUQQU	46	MI	58210	F
5DBWFJR3	42	GU	36744	F
4WN4GGYC	41	EM	54880	F
MVFLHUCW	23	VE	91080	F
058KVQYD	37	DF	11260	F
PB6PW7RR	46	PU	75680	M
0P3YD9TG	41	GU	37200	F
B52R279Y	40	HI	42083	F
XD27U7TC	19	QU	76683	M
765EHBEG	64	DF	07870	F
3M974RGN	50	CA	24350	F
84W0MT9Q	41	TA	86730	M
R9G399GM	44	BN	22224	?
GBLXD4CZ	36	JA	45030	F
C6FLQ0EG	31	DU	34237	M
80VK6WR7	51	VE	91300	M
K081JPX3	26	EM	55069	F
TDW3GG1F	34	QR	77214	M
3B4YC23K	58	DF	03020	M
PLLPG8LF	50	EM	52766	M
VQMUMUFU	24	JA	47680	M
9LK3JQPC	46	DF	07880	F
2FLWAT3V	60	DU	34130	M
QQP6JPGG	48	SI	81873	F
WN0UF245	26	JA	45650	F
YZ9JHYBG	44	NL	64116	F
WULTEL51	28	DF	08900	M
40UDRVZJ	41	CO	28984	F
RLJKYH5Y	47	AG	20298	F
CYFP6Z9P	47	EM	54942	F
NFXFGK68	27	CS	30833	M
RRAYY20R	21	EM	55067	F
HJ7GFK9H	27	GU	36570	M
0VZGKMU6	57	TM	87448	M
14PGABCJ	52	DF	15000	M
9VQF1T3K	40	EM	54080	F
L4HCPUF7	32	DF	04850	M
KF0GR3JC	37	DF	11410	F
LGUPR0YB	20	OA	68070	F
W297HCWB	28	EM	55764	F
YCR005QU	24	GU	38090	F
UWPCUL00	26	CH	31060	M
4U8MX45J	52	JA	45424	M
WCA04TSG	24	DF	11480	M
M2PWLPJJ	39	YU	97157	M
B3U6EWNU	36	GU	37669	F
CP70NM81	37	PU	72595	F
CMVTSCYA	34	VE	92132	F
1131402K	59	VE	94730	M
E8HY00PK	29	SO	83170	F
FTJK4J7B	48	DF	09200	M
CDHV0TN5	47	EM	52947	M
Q8QM419H	20	DU	34210	M
XZ290NGX	22	VE	94952	F
STL24TSM	64	EM	54696	M
1ZYQW4AP	53	EM	50150	M
36MPCWU4	62	CA	24090	M
KVVFG8MW	25	DF	15900	F
E60JSZSP	30	PU	73080	F
PQ05PFSZ	26	EM	52200	F
8W0C0YRS	60	YU	97703	M
CYE4N1TU	26	PU	72240	F
CDL01Q3M	75	NL	67193	M
W1YH0NB2	36	BN	22615	M
C97PZPN3	45	TA	86500	F
FDTEU4W5	29	VE	93400	M
EU0TQN20	25	DF	07920	F
CS26X369	34	OA	70020	F
RAMXP381	69	VE	93230	F
00FE5N0J	29	NA	63784	F
NS98Y36V	23	HI	42680	M
PQKSPLF6	28	MI	58730	F
4YJPJEWR	42	EM	54570	M
570A3R4U	50	EM	57300	M
RES52PE8	30	CH	31064	F
1PL61ERF	55	SL	78350	M
B4SERQ7J	44	BN	21350	M
NJE5KZ7N	21	MI	58860	F
UWDWLTXD	28	CS	30020	F
5CYB16FW	49	DF	02600	F
5E1WRVCX	42	JA	49300	F
D3XGFEY0	51	NL	67180	M
07Y10W1V	41	SO	83170	F
N4KKJES6	51	EM	50120	M
AJR9WCHG	41	OA	68036	F
10HLN5F9	64	DF	01230	M
Y2B3QN8T	27	GU	38160	M
58CT5MSY	43	CH	32882	F
YK170GJP	64	EM	52105	F
PZQKMRN5	24	HI	42954	F
MR8ECBG6	47	CU	27845	M
GBRLRRE0	53	DF	06700	F
58CBKHFL	44	DF	04200	F
YVP5TL5P	22	BN	22190	F
PX5U0ZRL	52	SL	78377	F
303AK579	78	CO	28970	F
7Q4BWRQ8	26	GO	39850	M
C1Z0NYRV	33	DF	09700	M
KVXUMAZ9	25	GO	39056	F
MSL6VQE6	24	EM	56860	M
QAZ6K7YW	48	EM	54140	F
NNJVA6ZS	22	TL	90670	M
JD3C2VL0	25	EM	54570	M
9KN4NHTU	49	CH	31313	F
JC57K6JZ	30	EM	54040	M
RJ82W37Q	25	JA	45065	?
S0JQXGPY	23	YU	97300	F
Y7Q1TDAF	36	GU	38970	F
UUPM3VB5	73	DF	16035	F
XDSVZW7S	34	GU	37180	F
FJLZ0J00	33	DF	01530	M
YJBTXQUC	25	CH	33120	F
EGDZ14HV	31	EM	54080	M
1B49WCP6	72	EM	52000	M
79HL8XC0	46	AG	20299	F
37XRLPDC	51	CU	27275	M
A74W5UBU	46	CA	24150	M
L5QQG18Z	26	CH	31500	M
TEAR06QT	26	EM	55390	F
3AYHC0YU	58	YU	97196	F
01U4Y51J	41	QR	77728	M
0DWUJFAN	27	JA	49000	M
E5L8540R	34	SO	85440	M
F9LSMLTK	31	SO	83010	F
YXRFH6D0	29	CH	32574	F
RW70ABTE	19	JA	48900	F
C1EP2Y5M	92	SI	80430	F
D3BH73EJ	55	CH	31510	F
6SWFGSC7	44	CA	24900	M
JZJAJQQH	31	GO	39700	M
7W4A52CN	44	QR	77230	F
DU0P177R	33	NL	66604	M
BGR55EMF	58	DF	15840	F
9VLGKB33	42	SO	83293	M
JMRDQSAE	24	DF	06700	M
0YYH72QP	69	EM	54050	F
NX0EVQ9P	55	SO	83104	F
2SK825W6	43	DF	07700	M
TJ0CMGSU	28	QU	76118	F
926V90B6	38	CA	24902	M
9NJ5PCLH	75	JA	44270	F
XT6TW0HV	28	VE	93160	M
29HU42B0	46	JA	44610	M
WY17W1F8	27	DF	07780	M
82DX7KY9	39	TA	86190	M
6TWM4GR2	39	DF	03630	F
ZRPVVMMZ	20	BN	21240	F
S785A7R9	23	MI	60521	M
1DC76UVQ	65	PU	72760	M
0B5SL96F	34	SI	80020	M
RUPPQXFY	20	MI	59363	M
8BZ8E3H4	35	EM	57000	M
86VY30AG	49	JA	47253	F
EH0DVPLJ	40	EM	56644	M
MYHGWGX1	23	NL	64988	M
EB0YFCEE	56	JA	44500	F
J9J698SX	27	EM	43800	M
V7JS5EN7	35	JA	45138	M
7M05GGWU	42	VE	91240	M
GSBLNG8B	55	TM	88650	F
VHGCFA79	35	QU	76904	F
9NXNVGQ4	46	PU	75700	F
J6T19CAR	44	JA	45010	M
EXLCGR50	52	DF	15530	M
0G6A0WTU	63	VE	93340	M
PQHEZ3FR	23	ZA	99199	M
GVY1KWQG	29	JA	45530	M
35DF66ZK	57	DF	03660	F
TD5D07YH	35	EM	52000	F
NYN31YHT	35	DF	02109	M
LEJM3MA6	35	EM	53650	M
29XS4R23	57	JA	45404	F
00XE3527	42	TA	86650	M
FBUDXSNX	30	NA	63734	F
4AEP1JU1	53	MO	62772	M
K3RB81UY	33	SO	85890	M
78JHQZJ6	46	NA	63135	M
ENL0M40T	43	AG	20205	F
110CN7M0	65	CA	24000	F
1ZU0WDY0	64	SO	85294	M
59Y2YRQN	62	VE	96550	M
37NVKXEE	73	DF	03300	M
61U0VQUW	36	EM	54059	M
CDN0V2NA	40	NL	66050	M
XTUNYQJA	32	HI	43824	F
B5BTRPWD	33	SO	83190	M
0Z7N49VL	54	EM	54740	M
CCDA3XCW	20	JA	45200	M
8XVYYDDM	40	NL	67250	M
B6N94AEJ	37	TA	86017	F
86YFDLRE	45	GU	36630	F
M0MVZ02F	32	CS	30099	F
5HQ337GV	37	DF	16200	M
80DBKV4L	42	QU	76086	M
PYB67CYQ	22	MI	61650	F
RNP33B02	47	CU	26360	F
NGE7H20S	23	NL	64102	F
1ZD0SJ4G	59	OA	68274	F
UYG71WXS	30	JA	44790	F
P8MQAHZA	24	DF	09760	M
6GX00XWE	37	DF	16038	M
0USTVLWN	65	JA	45067	F
ZS45BMM6	18	DF	04510	F
L27NTCXN	24	TM	88620	M
XEW0VUR4	24	EM	55719	M
J1VXAY02	36	CO	28219	F
ZW32BBYJ	19	BN	22034	F
VLGQPMAD	69	DF	14050	F
W1ZVWW63	38	TA	86690	M
PJMXAK62	23	TM	88000	F
VG48L6KM	54	NL	64550	M
V11ZLGR0	27	DF	01250	M
2EXJRS70	49	CH	31820	F
D8KN2THD	40	PU	72300	M
Z3N7XV7A	41	HI	43800	M
11186DE0	72	DF	06300	F
X4KRWAP0	29	NL	66470	M
WB9MFUYT	26	TM	88786	F
LW40MVUR	48	BS	23427	F
PYK1C4H5	26	MO	62663	M
FE0QU43Q	29	NL	67137	F
93XUUY1Y	45	BN	21395	F
R0C8E57A	24	EM	56334	M
41B500HE	47	EM	55748	F
SRM0VXB6	28	NL	66477	M
WXC0HJ71	29	DU	35018	F
3MMRNEKB	43	DU	35018	M
XYE0Q1EN	28	DF	01010	F
RUCURLYP	21	BS	23010	M
WFAW2HHA	46	VE	96536	M
7JQQ5QSA	40	JA	49086	F
YZLBA4EQ	26	TM	87456	M
0G6D0HXU	27	CH	32780	M
V0WH7H7H	74	EM	55600	F
HMNML0LF	33	CH	32040	M
ADTXAU76	29	DU	35168	F
8XLCQQ3Y	64	DF	16038	M
Y4N02XCH	28	YU	97268	F
ACX9BFGD	41	DF	07269	F
YQ0FM6DN	24	TA	86725	M
NNYM4VKZ	24	BN	21378	F
4BUFW6PT	47	CA	24050	F
JZZSBPXJ	49	YU	97130	F
8R5880D1	40	BN	21820	F
CHN170S8	50	YU	97210	F
DH2DN9L0	30	VE	94300	F
JCUD3FT6	24	JA	47880	F
BV15S596	34	SO	83104	F
TEQQZ00S	27	EM	54240	M
MMXWNZFM	27	NL	66377	F
RQ0G9Q21	35	TM	87351	F
ACU0FPQJ	61	JA	45602	M
88BK5LHX	60	DF	11820	M
7HQYJKDA	58	PU	75760	M
SZ6LFEAH	22	CH	33922	M
9ASJNUKF	30	DF	16210	M
B67KDDLW	37	EM	54426	F
FLR5V249	42	HI	43673	F
YFLTV0P0	19	CH	31385	F
CADYHZDP	66	TM	89120	F
0CQS59FV	35	QR	77539	M
X0FSTCTX	25	OA	70117	M
G0M6AT1G	35	OA	69007	M
G30Q39DG	34	DF	04650	F
Z91XEKT5	56	DF	14429	M
R2C7DX50	24	DF	09230	M
18PJ56Z0	36	EM	54020	M
6UKGU44N	52	NL	67170	F
WG5KRUFT	48	GU	37800	M
H5C0FAMD	28	EM	55016	F
3YJMF5TU	43	DU	35044	F
5LJWPJ06	43	QR	77517	M
142LYQWH	62	HI	42184	F
ZMN04YPM	46	GU	37490	F
7BK4CAW5	25	SO	83324	M
ZNHK83PP	30	CH	31500	F
1ZB0HC7H	50	EM	54944	F
594WWXSE	42	NL	66635	F
K0D9QLQG	23	EM	54786	F
03F80ZY0	45	BN	21376	F
0GZ403PN	28	DF	11000	F
927XVS2J	41	SO	84600	M
VWW6HENV	25	CH	32696	M
772N1JYZ	71	TL	90570	M
5Q01GQVF	41	CH	32575	F
6RW0Q2VZ	37	DF	14330	F
33LPMDT0	71	QU	76063	M
404EYTKP	75	DF	03100	F
C0664W9C	36	EM	50110	M
AC14SSJR	36	EM	52167	M
N32K0NWR	38	MO	62738	M
6F1QZRU2	41	TA	86250	M
DTA063AE	33	SO	83106	M
6YEXNAN3	93	SL	78387	F
3D4XMS7U	70	CS	29200	M
YA4T5Y03	28	DF	01010	F
5JUE7M10	45	AG	20908	M
29JA082B	66	DF	09740	M
NKQ0TK6D	27	HI	43800	M
UP90Z9SM	43	TM	88776	M
VT2MEJPW	22	QU	76905	M
6R54CZ9Z	34	NL	64640	F
AE3EFZRW	33	PU	75210	F
QWKQT8UR	27	DF	04630	F
7K41Z00M	86	GU	37100	F
JLAG4Y1P	49	OA	68140	F
VUG2RGG2	25	DF	07480	F
CBXL6D3K	35	TL	90500	M
X0HHZT01	48	CU	25060	M
M6J662KR	33	EM	56607	M
C2NZGX33	27	JA	44760	F
HZFP06RM	52	GO	39904	M
PZEYHFP8	21	MO	62515	M
JFRBFZ00	27	NL	64270	F
0ZK3CVRA	59	JA	44890	F
1QSVQQJ7	64	VE	96400	M
D2RY3C46	35	DU	34236	M
910GNZN4	37	SO	85532	F
7ZTL4PHS	100	DF	04230	F
D4Y6R8GC	43	EM	56577	M
VNZUKK5U	58	DF	07650	M
UPPDNH6M	39	CH	31647	M
ZK0UN560	23	PU	74218	M
LZ9AM8UB	24	JA	44600	F
VFBT04Q7	33	SO	85406	M
NGG27PRR	20	NL	64340	M
0VGL5D9E	44	QU	76148	M
LBPKR5NV	24	EM	55050	M
U1CCV5D4	27	CS	30530	F
9UD0BVAP	39	TA	86280	F
H851TLTW	58	TA	86179	M
KC0ZAHVX	23	DF	14479	F
0FUF0QQK	41	BS	23460	M
MY8L7NYA	27	PU	72980	M
J1TMC8Y0	62	EM	55236	F
5L4A1RNG	60	CU	27294	M
FU6XC0RG	31	GU	38540	F
DXW1BPE8	36	SI	80050	M
V5U9HG0C	22	JA	45645	M
0KS2SK0X	46	EM	54715	F
58TLT0TM	57	BS	23920	M
U2FK77EN	25	BN	22123	M
QB8KHTS5	21	MI	61224	F
9X7E3N3S	37	CO	28010	F
JQGFL24K	26	CH	32520	F
FMBBX0DG	68	MI	58404	M
MLW3SV9M	35	DF	01130	M
V6F7Z61Y	34	DF	09640	M
YY0SRTRM	37	GU	38200	M
8ATGZGT3	65	VE	91400	F
47DF0CJL	42	MO	62575	M
CJK000H0	59	PU	72310	M
RVXG0765	19	DF	04800	M
Z2L68QVC	25	GU	37000	M
YQP99R2U	44	SI	80378	M
XTKW9V5M	46	MI	60650	M
Z9NTX14H	21	QU	76246	M
7ASKCJYG	37	DF	10610	M
AG75A0DD	65	CS	29047	F
HWF44HVE	26	TL	90253	M
WAH4FHV2	23	CH	31216	F
0TH5DXW0	57	NA	63110	M
Y8NAST2H	32	QU	76116	F
XNZXYHQU	22	CU	27050	M
JD0B0WFN	38	QU	76116	M
VLR48Y66	26	EM	54890	M
E5P3F9Z4	33	VE	91100	M
4GBDH2P0	54	JA	45010	M
D00ZAWPG	33	CU	25016	F
B19UJ2N9	63	QR	77667	M
MV05GTW0	44	EM	51260	M
CD0XP1NF	34	SI	78216	F
LDTPWGZK	68	JA	44740	F
5S4D4FRX	42	NL	66059	F
P6JUDJX6	22	GU	38800	F
6Y83JWDQ	45	OA	69800	M
C9TMMZUC	43	MI	60280	F
8MEL540M	33	DF	10369	F
BLUV4MH3	41	DU	34290	F
TELFDEEJ	26	EM	54800	F
C4GERKS3	37	VE	96536	F
HUNN0CED	31	NL	66220	M
Y0XMFQ3L	48	HI	42058	M
3DLQEP44	53	CH	31020	F
CUZPNZT7	38	OA	68347	F
71XUD0AD	52	HI	43730	F
9FPF2AQC	40	EM	57000	M
58AYE45X	48	CU	27400	F
9Q2NBAPS	32	DF	09200	M
M70GBBS0	43	BN	22330	F
QSL4J0KD	28	CU	27294	M
1CMDDKTT	84	NL	64810	M
6L9EZ1LF	44	EM	55710	M
3ZGF5WXY	41	TA	86143	M
GXRGKDE4	26	PU	75790	M
P90YS46B	27	JA	45500	F
9UZ0GRY2	29	EM	53224	F
ARTLJQPB	35	BN	22203	F
0ZMPSBE8	65	QU	76345	M
6VZS6AUN	62	SI	80060	F
VNRBSY0R	29	CU	26230	M
NS5DNXE3	25	ZA	98085	F
7UX51Q8C	37	EM	57100	M
L9VJSYSV	45	MI	58880	M
0GZR0ZCS	61	VE	95264	M
0TQN4S3X	56	DF	05039	M
JC18TPWQ	30	JA	44290	F
DV80ASFP	38	DF	03940	F
PU0NBETR	24	PU	72960	M
EZNXBAR1	48	JA	45189	F
C6V05TS3	36	SL	78300	M
73038KWH	45	BS	23088	M
KP4U8KZB	34	GU	37210	M
820HH1YR	38	DF	02750	F
ASAXE5DU	37	CH	31560	M
FCTCADGK	47	SO	85219	F
ZFTYGUX5	34	CH	33038	M
N9DCPMWV	21	DF	08040	F
0TCT8QPV	47	DF	16770	M
J0R9DAUW	23	EM	55029	F
MBDZX9H0	40	SI	80020	F
FVD07FST	44	DF	11430	F
XNB5NN0G	40	DF	14200	F
26MVXPQS	55	DF	02470	M
